VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2019-01-01 00:39:09,2019-01-01 00:52:10,1,3.12,1,N,137,87,1,12,0.5,0.5,2.66,0,0.3,15.96,
2,2019-01-01 00:54:26,2019-01-01 01:34:02,1,15.28,1,N,261,94,2,43.5,0.5,0.5,0,0,0.3,44.8,
1,2019-01-01 00:26:07,2019-01-01 00:39:49,1,1.10,1,N,237,229,1,9.5,0.5,0.5,2.15,0,0.3,12.95,
1,2019-01-01 00:49:37,2019-01-01 01:09:40,1,2.50,1,N,229,107,1,13.5,0.5,0.5,2.5,0,0.3,17.3,
2,2019-01-01 00:05:33,2019-01-01 00:18:57,2,3.26,1,N,114,233,1,12,0.5,0.5,1.7,0,0.3,15,
2,2019-01-01 00:34:43,2019-01-01 00:47:25,2,2.25,1,N,161,141,2,10.5,0.5,0.5,0,0,0.3,11.8,
2,2019-01-01 00:50:49,2019-01-01 01:03:34,2,4.07,1,N,263,145,1,14,0.5,0.5,3.06,0,0.3,18.36,
2,2019-01-01 00:29:35,2019-01-02 00:20:52,1,.66,1,N,43,142,2,5,0.5,0.5,0,0,0.3,6.3,
2,2019-01-01 00:37:00,2019-01-01 00:46:05,1,.90,1,N,142,48,2,7,0.5,0.5,0,0,0.3,8.3,
2,2019-01-01 00:50:24,2019-01-01 01:08:40,1,2.80,1,N,48,162,1,13.5,0.5,0.5,2.96,0,0.3,17.76,
2,2019-01-01 00:05:33,2019-01-01 00:16:02,2,.50,1,N,164,186,1,7.5,0.5,0.5,2.2,0,0.3,11,
2,2019-01-01 00:48:06,2019-01-01 01:08:24,2,3.99,1,N,68,151,1,16.5,0.5,0.5,3.56,0,0.3,21.36,
2,2019-01-01 00:32:35,2019-01-01 00:48:28,2,3.64,1,N,79,237,1,13.5,0.5,0.5,2.96,0,0.3,17.76,
1,2019-01-01 00:12:55,2019-01-01 00:19:57,1,.90,1,N,113,107,1,6,0.5,0.5,1,0,0.3,8.3,
1,2019-01-01 00:47:28,2019-01-01 00:58:41,1,1.30,1,N,170,237,2,8.5,0.5,0.5,0,0,0.3,9.8,
1,2019-01-01 00:53:21,2019-01-01 01:09:21,1,2.00,1,N,186,79,1,11.5,0.5,0.5,2.55,0,0.3,15.35,
2,2019-01-01 00:51:56,2019-01-01 01:25:00,1,4.26,1,N,68,148,2,22,0.5,0.5,0,0,0.3,23.3,
2,2019-01-01 00:18:09,2019-01-01 00:21:34,2,.37,1,N,141,141,2,4,0.5,0.5,0,0,0.3,5.3,
2,2019-01-01 00:49:08,2019-01-01 01:01:18,3,3.60,1,N,161,74,2,12.5,0.5,0.5,0,0,0.3,13.8,
2,2018-12-31 23:58:59,2019-01-01 00:08:22,1,1.79,1,N,107,170,2,8.5,0.5,0.5,0,0,0.3,9.8,
2,2019-01-01 00:02:53,2019-01-01 00:20:01,2,1.20,1,N,161,234,2,11,0.5,0.5,0,0,0.3,12.3,
2,2019-01-01 00:27:15,2019-01-01 00:30:12,2,.31,1,N,114,114,2,4,0.5,0.5,0,0,0.3,5.3,
2,2019-01-01 00:30:33,2019-01-01 00:41:47,2,1.51,1,N,114,90,1,9,0.5,0.5,2.06,0,0.3,12.36,
2,2019-01-01 00:48:08,2019-01-01 01:00:50,2,1.20,1,N,249,68,1,9,0.5,0.5,2.06,0,0.3,12.36,
2,2019-01-01 00:30:20,2019-01-01 00:44:07,1,2.63,1,N,162,263,2,12,0.5,0.5,0,0,0.3,13.3,
2,2019-01-01 00:45:35,2019-01-01 00:53:05,1,1.61,1,N,263,141,1,7.5,0.5,0.5,2.64,0,0.3,11.44,
2,2019-01-01 00:55:33,2019-01-01 01:06:01,1,2.67,1,N,141,146,1,10.5,0.5,0.5,3.54,0,0.3,15.34,
2,2019-01-01 00:13:26,2019-01-01 00:33:22,1,4.62,1,N,43,144,1,16.5,0.5,0.5,0,0,0.3,17.8,
2,2019-01-01 00:36:06,2019-01-01 00:48:10,1,2.19,1,N,144,137,2,10,0.5,0.5,0,0,0.3,11.3,
